Date,Race-Location,Constructor,Qualifying-Position,Position,DNF
10/07/2011,"Silverstone, UK",HRT,24,19,No
24/07/2011,"Nürburg, Germany",HRT,22,19,No
31/07/2011,"Budapest, Hungary",HRT,22,18,No
28/08/2011,"Spa, Belgium",HRT,23,23,Yes
11/09/2011,"Monza, Italy",HRT,23,23,Yes
25/09/2011,"Marina Bay, Singapore",HRT,23,19,No
9/10/2011,"Suzuka, Japan",HRT,22,22,No
16/10/2011,"Yeongam County, Korea",HRT,24,19,No
30/10/2011,"Uttar Pradesh, India",HRT,23,18,No
13/11/2011,"Abu Dhabi, UAE",HRT,20,23,Yes
27/11/2011,"São Paulo, Brazil",HRT,22,20,No
18/03/2012,"Melbourne, Australia",Toro Rosso,10,9,No
25/03/2012,"Kuala Lumpur, Malaysia",Toro Rosso,15,12,No
15/04/2012,"Shanghai, China",Toro Rosso,17,17,No
22/04/2012,"Sakhir, Bahrain",Toro Rosso,6,15,No
13/05/2012,"Montmeló, Spain",Toro Rosso,15,13,No
27/05/2012,"Monte-Carlo, Monaco",Toro Rosso,15,23,Yes
10/06/2012,"Montreal, Canada",Toro Rosso,14,14,No
24/06/2012,"Valencia, Spain",Toro Rosso,17,11,No
8/07/2012,"Silverstone, UK",Toro Rosso,12,13,No
22/07/2012,"Hockenheim, Germany",Toro Rosso,11,13,No
29/07/2012,"Budapest, Hungary",Toro Rosso,18,15,No
2/09/2012,"Spa, Belgium",Toro Rosso,16,9,No
9/09/2012,"Monza, Italy",Toro Rosso,14,12,No
23/09/2012,"Marina Bay, Singapore",Toro Rosso,15,9,No
7/10/2012,"Suzuka, Japan",Toro Rosso,14,10,No
14/10/2012,"Yeongam County, Korea",Toro Rosso,21,9,No
28/10/2012,"Uttar Pradesh, India",Toro Rosso,15,13,No
4/11/2012,"Abu Dhabi, UAE",Toro Rosso,16,10,No
18/11/2012,"Austin, USA",Toro Rosso,18,12,No
25/11/2012,"São Paulo, Brazil",Toro Rosso,15,13,No
17/03/2013,"Melbourne, Australia",Toro Rosso,14,23,Yes
24/03/2013,"Kuala Lumpur, Malaysia",Toro Rosso,13,18,No
14/04/2013,"Shanghai, China",Toro Rosso,7,7,No
21/04/2013,"Sakhir, Bahrain",Toro Rosso,13,16,No
12/05/2013,"Montmeló, Spain",Toro Rosso,11,10,No
26/05/2013,"Monte-Carlo, Monaco",Toro Rosso,12,23,Yes
9/06/2013,"Montreal, Canada",Toro Rosso,11,15,No
30/06/2013,"Silverstone, UK",Toro Rosso,5,8,No
7/07/2013,"Nürburg, Germany",Toro Rosso,6,12,No
28/07/2013,"Budapest, Hungary",Toro Rosso,8,13,No
25/08/2013,"Spa, Belgium",Toro Rosso,19,10,No
8/09/2013,"Monza, Italy",Toro Rosso,7,7,No
22/09/2013,"Marina Bay, Singapore",Toro Rosso,9,23,Yes
6/10/2013,"Yeongam County, Korea",Toro Rosso,12,19,No
13/10/2013,"Suzuka, Japan",Toro Rosso,16,13,No
27/10/2013,"Uttar Pradesh, India",Toro Rosso,11,10,No
3/11/2013,"Abu Dhabi, UAE",Toro Rosso,9,16,No
17/11/2013,"Austin, USA",Toro Rosso,10,11,No
24/11/2013,"São Paulo, Brazil",Toro Rosso,7,10,No
16/03/2014,"Melbourne, Australia",Red Bull,2,23,Yes
30/03/2014,"Kuala Lumpur, Malaysia",Red Bull,5,23,Yes
6/04/2014,"Sakhir, Bahrain",Red Bull,13,4,No
20/04/2014,"Shanghai, China",Red Bull,2,4,No
11/05/2014,"Montmeló, Spain",Red Bull,3,3,No
25/05/2014,"Monte-Carlo, Monaco",Red Bull,3,3,No
8/06/2014,"Montreal, Canada",Red Bull,6,1,No
22/06/2014,"Spielburg, Austria",Red Bull,5,8,No
6/07/2014,"Silverstone, UK",Red Bull,8,3,No
20/07/2014,"Hockenheim, Germany",Red Bull,5,6,No
27/07/2014,"Budapest, Hungary",Red Bull,4,1,No
24/08/2014,"Spa, Belgium",Red Bull,5,1,No
7/09/2014,"Monza, Italy",Red Bull,9,5,No
21/09/2014,"Marina Bay, Singapore",Red Bull,3,3,No
5/10/2014,"Suzuka, Japan",Red Bull,6,4,No
12/10/2014,"Sochi, Russia",Red Bull,6,7,No
2/11/2014,"Austin, USA",Red Bull,5,3,No
9/11/2014,"São Paulo, Brazil",Red Bull,9,23,Yes
23/11/2014,"Abu Dhabi, UAE",Red Bull,20,4,No
15/03/2015,"Melbourne, Australia",Red Bull,6,6,No
29/03/2015,"Kuala Lumpur, Malaysia",Red Bull,4,10,No
12/04/2015,"Shanghai, China",Red Bull,7,9,No
19/04/2015,"Sakhir, Bahrain",Red Bull,7,6,No
10/05/2015,"Montmeló, Spain",Red Bull,10,7,No
24/05/2015,"Monte-Carlo, Monaco",Red Bull,4,5,No
7/06/2015,"Montreal, Canada",Red Bull,9,13,No
21/06/2015,"Spielburg, Austria",Red Bull,18,10,No
5/07/2015,"Silverstone, UK",Red Bull,10,23,Yes
26/07/2015,"Budapest, Hungary",Red Bull,4,3,No
23/08/2015,"Spa, Belgium",Red Bull,5,23,Yes
6/09/2015,"Monza, Italy",Red Bull,19,8,No
20/09/2015,"Marina Bay, Singapore",Red Bull,2,2,No
27/09/2015,"Suzuka, Japan",Red Bull,7,15,No
11/10/2015,"Sochi, Russia",Red Bull,10,15,No
25/10/2015,"Austin, USA",Red Bull,3,10,No
1/11/2015,"Mexico City, Mexico",Red Bull,5,5,No
15/11/2015,"São Paulo, Brazil",Red Bull,19,11,No
29/11/2015,"Abu Dhabi, UAE",Red Bull,5,6,No
20/03/2016,"Melbourne, Australia",Red Bull,8,4,No
3/04/2016,"Sakhir, Bahrain",Red Bull,5,4,No
17/04/2016,"Shanghai, China",Red Bull,2,4,No
1/05/2016,"Sochi, Russia",Red Bull,5,11,No
15/05/2016,"Montmeló, Spain",Red Bull,3,4,No
29/05/2016,"Monte-Carlo, Monaco",Red Bull,1,2,No
12/06/2016,"Montreal, Canada",Red Bull,4,7,No
19/06/2016,"Baku, Azerbaijan",Red Bull,2,7,No
3/07/2016,"Spielburg, Austria",Red Bull,5,5,No
10/07/2016,"Silverstone, UK",Red Bull,4,4,No
24/07/2016,"Budapest, Hungary",Red Bull,3,3,No
31/07/2016,"Hockenheim, Germany",Red Bull,3,2,No
28/08/2016,"Spa, Belgium",Red Bull,5,2,No
4/09/2016,"Monza, Italy",Red Bull,6,5,No
18/09/2016,"Marina Bay, Singapore",Red Bull,2,2,No
2/10/2016,"Kuala Lumpur, Malaysia",Red Bull,4,1,No
9/10/2016,"Suzuka, Japan",Red Bull,4,6,No
23/10/2016,"Austin, USA",Red Bull,3,3,No
30/10/2016,"Mexico City, Mexico",Red Bull,4,3,No
13/11/2016,"São Paulo, Brazil",Red Bull,6,8,No
27/11/2016,"Abu Dhabi, UAE",Red Bull,3,5,No
26/03/2017,"Melbourne, Australia",Red Bull,0,23,Yes
9/04/2017,"Shanghai, China",Red Bull,5,4,No
16/04/2017,"Sakhir, Bahrain",Red Bull,4,5,No
30/04/2017,"Sochi, Russia",Red Bull,5,23,Yes
14/05/2017,"Montmeló, Spain",Red Bull,6,3,No
28/05/2017,"Monte-Carlo, Monaco",Red Bull,5,3,No
11/06/2017,"Montreal, Canada",Red Bull,6,3,No
25/06/2017,"Baku, Azerbaijan",Red Bull,10,1,No
9/07/2017,"Spielburg, Austria",Red Bull,4,3,No
16/07/2017,"Silverstone, UK",Red Bull,19,5,No
30/07/2017,"Budapest, Hungary",Red Bull,6,23,Yes
27/08/2017,"Spa, Belgium",Red Bull,6,3,No
3/09/2017,"Monza, Italy",Red Bull,16,4,No
17/09/2017,"Marina Bay, Singapore",Red Bull,3,2,No
1/10/2017,"Kuala Lumpur, Malaysia",Red Bull,4,3,No
8/10/2017,"Suzuka, Japan",Red Bull,3,3,No
22/10/2017,"Austin, USA",Red Bull,4,23,Yes
29/10/2017,"Mexico City, Mexico",Red Bull,16,23,Yes
12/11/2017,"São Paulo, Brazil",Red Bull,14,6,No
26/11/2017,"Abu Dhabi, UAE",Red Bull,4,23,Yes
25/03/2018,"Melbourne, Australia",Red Bull,8,4,No
8/04/2018,"Sakhir, Bahrain",Red Bull,4,23,Yes
15/04/2018,"Shanghai, China",Red Bull,6,1,No
29/04/2018,"Baku, Azerbaijan",Red Bull,4,23,Yes
13/05/2018,"Montmeló, Spain",Red Bull,6,5,No
27/05/2018,"Monte-Carlo, Monaco",Red Bull,1,1,No
10/06/2018,"Montreal, Canada",Red Bull,6,4,No
24/06/2018,"Le Castellet, France",Red Bull,5,4,No
1/07/2018,"Spielburg, Austria",Red Bull,7,23,Yes
8/07/2018,"Silverstone, UK",Red Bull,6,5,No
22/07/2018,"Hockenheim, Germany",Red Bull,20,23,Yes
29/07/2018,"Budapest, Hungary",Red Bull,12,4,No
26/08/2018,"Spa, Belgium",Red Bull,8,23,Yes
2/09/2018,"Monza, Italy",Red Bull,19,23,Yes
16/09/2018,"Marina Bay, Singapore",Red Bull,6,6,No
30/09/2018,"Sochi, Russia",Red Bull,18,6,No
7/10/2018,"Suzuka, Japan",Red Bull,15,4,No
21/10/2018,"Austin, USA",Red Bull,4,23,Yes
28/10/2018,"Mexico City, Mexico",Red Bull,1,23,Yes
11/11/2018,"São Paulo, Brazil",Red Bull,11,4,No
25/11/2018,"Abu Dhabi, UAE",Red Bull,5,4,No
17/03/2019,"Melbourne, Australia",Renault,12,23,Yes
31/03/2019,"Sakhir, Bahrain",Renault,10,23,Yes
14/04/2019,"Shanghai, China",Renault,7,7,No
28/04/2019,"Baku, Azerbaijan",Renault,10,23,Yes
12/05/2019,"Montmeló, Spain",Renault,13,12,No
26/05/2019,"Monte-Carlo, Monaco",Renault,6,9,No
9/06/2019,"Montreal, Canada",Renault,4,6,No
23/06/2019,"Le Castellet, France",Renault,8,11,No
30/06/2019,"Spielburg, Austria",Renault,12,12,No
14/07/2019,"Silverstone, UK",Renault,7,7,No
28/07/2019,"Hockenheim, Germany",Renault,13,23,Yes
4/08/2019,"Budapest, Hungary",Renault,20,14,No
1/09/2019,"Spa, Belgium",Renault,10,14,No
8/09/2019,"Monza, Italy",Renault,5,4,No
22/09/2019,"Marina Bay, Singapore",Renault,20,14,No
29/09/2019,"Sochi, Russia",Renault,10,23,Yes
13/10/2019,"Suzuka, Japan",Renault,16,23,Yes
27/10/2019,"Mexico City, Mexico",Renault,13,8,No
3/11/2019,"Austin, USA",Renault,9,6,No
17/11/2019,"São Paulo, Brazil",Renault,11,6,No
1/12/2019,"Abu Dhabi, UAE",Renault,7,11,No
5/07/2020,"Spielburg, Austria",Renault,10,23,Yes
12/07/2020,"Spielburg, Austria",Renault,8,8,No
19/07/2020,"Budapest, Hungary",Renault,11,8,No
2/08/2020,"Silverstone, UK",Renault,8,4,No
9/08/2020,"Silverstone, UK",Renault,5,14,No
16/08/2020,"Montmeló, Spain",Renault,13,11,No
30/08/2020,"Spa, Belgium",Renault,4,4,No
6/09/2020,"Monza, Italy",Renault,7,6,No
13/09/2020,"Mugello, Italy",Renault,8,4,No
27/09/2020,"Sochi, Russia",Renault,5,5,No
11/10/2020,"Nürburg, Germany",Renault,6,3,No
25/10/2020,"Portimão, Portugal",Renault,10,9,No
1/11/2020,"Imola, Italy",Renault,5,3,No
15/11/2020,"Istanbul, Turkey",Renault,5,10,No
29/11/2020,"Sakhir, Bahrain",Renault,6,7,No
6/12/2020,"Sakhir, Bahrain",Renault,7,5,No
13/12/2020,"Abu Dhabi, UAE",Renault,11,7,No
28/03/2021,"Sakhir, Bahrain",McLaren,6,7,No
18/04/2021,"Imola, Italy",McLaren,6,6,No
2/05/2021,"Portimão, Portugal",McLaren,16,9,No
9/05/2021,"Montmeló, Spain",McLaren,7,6,No
23/05/2021,"Monte-Carlo, Monaco",McLaren,12,12,No
6/06/2021,"Baku, Azerbaijan",McLaren,13,9,No
20/06/2021,"Le Castellet, France",McLaren,10,6,No
27/06/2021,"Spielburg, Austria",McLaren,13,13,No
4/07/2021,"Spielburg, Austria",McLaren,13,7,No
18/07/2021,"Silverstone, UK",McLaren,7,6,No
1/08/2021,"Budapest, Hungary",McLaren,11,11,No
29/08/2021,"Spa, Belgium",McLaren,4,4,No
5/09/2021,"Zandvoort, Netherlands",McLaren,10,11,No
12/09/2021,"Monza, Italy",McLaren,5,1,No
26/09/2021,"Sochi, Russia",McLaren,5,4,No
3/10/2021,"Istanbul, Turkey",McLaren,20,13,No
