Year,Teammate,Constructor,Wins
2021,Lando Norris,McLaren,8
2020,Esteban Ocon,Renault,4
2019,Nico Hulkenberg,Renault,10
2017,Max Verstappen,Red Bull,11
2016,Max Verstappen,Red Bull,8
2015,Daniil Kvyat,Red Bull,10
2014,Sebastian Vettel,Red Bull,6
2013,Jean-Eric Vergne,Toro Rosso,8
2012,Jean-Eric Vergne,Toro Rosso,8
2011,Vitantonio Liuzzi,HRT,5
2021,Daniel Ricciardo,McLaren,1
2020,Daniel Ricciardo,Renault,13
2019,Daniel Ricciardo,Renault,11
2017,Daniel Ricciardo,Red Bull,9
2016,Daniel Ricciardo,Red Bull,13
2015,Daniel Ricciardo,Red Bull,9
2014,Daniel Ricciardo,Red Bull,13
2013,Daniel Ricciardo,Toro Rosso,11
2012,Daniel Ricciardo,Toro Rosso,12
2011,Daniel Ricciardo,HRT,6
