Year,Driver,Constructor,Wins,Name,Dan_total
2021,Teammate,McLaren,8,Lando Norris,8
2020,Teammate,Renault,4,Esteban Ocon,4
2019,Teammate,Renault,10,Nico Hulkenberg,10
2017,Teammate,Red Bull,11,Max Verstappen,11
2016,Teammate,Red Bull,8,Max Verstappen,8
2015,Teammate,Red Bull,10,Daniil Kvyat,10
2014,Teammate,Red Bull,6,Sebastian Vettel,6
2013,Teammate,Toro Rosso,8,Jean-Eric Vergne,8
2012,Teammate,Toro Rosso,8,Jean-Eric Vergne,8
2011,Teammate,HRT,5,Vitantonio Liuzzi,5
2021,Daniel Ricciardo,McLaren,1,Daniel Ricciardo,9
2020,Daniel Ricciardo,Renault,13,Daniel Ricciardo,17
2019,Daniel Ricciardo,Renault,11,Daniel Ricciardo,21
2017,Daniel Ricciardo,Red Bull,9,Daniel Ricciardo,20
2016,Daniel Ricciardo,Red Bull,13,Daniel Ricciardo,21
2015,Daniel Ricciardo,Red Bull,9,Daniel Ricciardo,19
2014,Daniel Ricciardo,Red Bull,13,Daniel Ricciardo,19
2013,Daniel Ricciardo,Toro Rosso,11,Daniel Ricciardo,19
2012,Daniel Ricciardo,Toro Rosso,12,Daniel Ricciardo,20
2011,Daniel Ricciardo,HRT,6,Daniel Ricciardo,11
2018,Daniel Ricciardo,Red Bull,5,Daniel Ricciardo,19
2018,Teammate,Red Bull,14,Max Verstappen,14
